hora	hr	idade	h	ctr	itgu
16	64	23	61.806316	503.3536	66.9657
17	65	23	62.73553	536.347	67.6131
18	66	23	61.835158	491.9732	66.9858
19	67	23	61.579342	443.5007	66.8063
20	68	23	60.26306	435.5264	65.8723
21	69	23	58.620738	427.5405	64.6838
22	70	23	57.929366	424.3803	64.1753
23	71	23	58.439326	423.9874	64.5507
0	72	24	59.52529	425.3732	65.3417
1	73	24	61.384136	424.7237	66.6687
2	74	24	60.062838	425.7072	65.7288
3	75	24	59.194234	425.6243	65.1017
4	76	24	61.434296	424.6865	66.7042
5	77	24	56.757294	428.2464	63.3024
6	78	24	58.819288	426.649	64.8288
7	79	24	59.185874	430.9096	65.0956
8	80	24	59.012404	436.5253	64.9696
9	81	24	60.824434	450.9636	66.2728
10	82	24	64.968068	534.4825	69.1361
11	83	24	67.524974	559.6939	70.8257
12	84	24	69.479124	601.3888	72.6267
13	85	24	74.23471	616.7828	76.503
14	86	24	73.295882	598.161	75.2445
15	87	24	73.11656	591.0298	75.3948
16	88	24	71.286138	527.8462	74.109
17	89	24	69.115046	527.5056	72.6862
