y1,y2,y3,y4,y5,y6,y7,y8,y9
2,PICAPE PESADA,PR,52,M,Casado,36185,"0,77",0
8,SEDAN,RN,43,M,Casado,29575,"0,66",0
0,SUV,SP,48,M,Casado,58386,"0,76",0
10,HATCH,SP,43,M,Casado,19478,"0,80",0
10,SEDAN,SP,43,M,Casado,41606,"0,04",0
8,SEDAN,RN,43,M,Casado,50773,"0,81",1
2,HATCH,SC,39,M,Casado,15133,"0,25",1
10,SUV,SP,58,M,Casado,58813,"0,84",0
2,SEDAN,SP,54,M,Casado,64467,"0,77",0
2,CAMIONETA LEVE,MG,38,M,Casado,22691,"0,80",0
10,SEDAN,DF,34,M,Casado,28992,"0,81",0
10,SUV,SP,41,F,Casado,49152,"0,11",0
10,SUV,SP,60,F,Casado,108493,"0,80",0
3,HATCH,SP,49,M,Viuvo,22425,"0,83",0
10,HATCH,SP,36,F,Casado,18559,"0,08",0
10,HATCH,SP,69,F,Casado,28277,"0,78",0
10,MONOVOLUME,SP,55,F,Casado,44593,"0,36",0
6,MONOVOLUME,SP,55,F,Casado,24776,"0,76",0
3,SUV,SP,34,F,Casado,49688,"0,84",0
6,MONOVOLUME,SP,55,M,Casado,37930,"0,03",0
3,SEDAN,SP,69,F,Casado,47945,"0,35",0
10,MONOVOLUME,SP,67,M,Casado,24468,"0,79",0
8,CAMIONETA LEVE,SP,36,F,Casado,20382,"0,03",0
10,PICAPE PESADA,RS,35,M,Casado,16749,"0,33",0
4,HATCH,SP,92,M,Casado,24837,"0,48",0
0,HATCH,SP,39,M,Divorciado,33110,"0,83",0
1,STATION WAGON,SP,56,M,Casado,24651,"0,76",0
1,SUV,SP,73,M,Divorciado,68495,"0,76",0
1,SEDAN,SP,63,F,Casado,26338,"0,17",0
10,MONOVOLUME,SP,65,M,Casado,33120,"0,82",0
10,SEDAN,SP,67,M,Casado,32254,"0,64",1
10,SEDAN,DF,59,M,Solteiro,71278,"0,68",0
6,SUV,SP,57,F,Casado,58746,"0,81",0
1,HATCH,RS,48,M,Casado,34266,"0,79",0
3,HATCH,SP,36,M,Casado,24832,"0,82",2
10,SEDAN,SP,60,F,Casado,50818,"0,62",0
10,MONOVOLUME,RS,80,M,Casado,13836,"0,77",0
0,HATCH,SC,60,F,Divorciado,39713,"0,81",0
10,MONOVOLUME,SP,35,M,Solteiro,15133,"0,01",0
10,HATCH,SP,69,M,Casado,24837,"0,78",0
10,SUV,SP,56,F,Divorciado,57457,"0,81",0
10,SEDAN,SP,51,M,Casado,48628,"0,82",2
5,MONOVOLUME,SP,37,F,Casado,25934,"0,78",0
9,HATCH,SP,56,M,Casado,7069,"0,80",0
10,PICAPE LEVE,SP,70,M,Casado,24741,"0,81",0
7,PICAPE PESADA,SP,56,M,Casado,61593,"0,78",0
10,SEDAN,SP,62,M,Casado,18176,"0,80",0
10,HATCH,SP,56,F,Divorciado,18542,"0,82",0
0,MONOVOLUME,SP,23,M,Solteiro,37619,"0,78",0
2,MONOVOLUME,BA,35,M,Casado,57038,"0,22",0
2,HATCH,RS,93,M,Casado,6677,"0,82",0
7,SEDAN,SP,71,M,Casado,77545,"0,82",0
2,HATCH,SP,78,M,Casado,28019,"0,83",0
1,SEDAN,SP,65,M,Casado,38328,"0,76",0
9,SEDAN,SP,61,M,Casado,32538,"0,78",1
10,SEDAN,SP,60,M,Casado,21328,"0,42",0
7,HATCH,SP,45,M,Casado,23769,"0,82",0
10,SEDAN,SP,48,M,Casado,38795,"0,35",0
1,SUV,SP,55,M,Casado,60219,"0,77",0
10,SEDAN,SP,52,M,Casado,26263,"0,76",0
8,HATCH,SP,35,F,Solteiro,6716,"0,84",0
4,HATCH,SP,57,M,Casado,22212,"0,67",0
8,SEDAN,PR,62,M,Viuvo,48541,"0,77",0
10,SUV,RS,63,M,Casado,69299,"0,77",0
0,HATCH,SP,57,M,Casado,36103,"0,77",0
7,SUV,SP,35,M,Casado,101226,"0,78",1
9,MONOVOLUME,SP,65,F,Casado,20865,"0,76",0
9,SUV,SP,47,F,Casado,51332,"0,83",1
10,SUV,SP,63,F,Casado,87782,"0,79",0
10,SEDAN,SP,61,F,Casado,62970,"0,77",0
3,PICAPE LEVE,PR,67,M,Casado,19890,"0,82",0
10,SEDAN,SP,51,M,Casado,64467,"0,79",0
6,MONOVOLUME,RJ,68,F,Casado,20319,"0,83",0
10,SEDAN,RS,55,F,Casado,22876,"0,80",0
10,SUV,SP,49,M,Casado,34816,"0,79",0
3,SEDAN,MG,40,M,Casado,15326,"0,59",0
9,STATION WAGON,SP,59,F,Casado,15638,"0,82",0
0,HATCH,SP,57,M,Casado,30391,"0,05",0
10,HATCH,SP,65,M,Casado,10648,"0,02",0
3,HATCH,RJ,38,M,Casado,25045,"0,77",0
1,CAMIONETA LEVE,BA,45,M,Casado,26287,"0,18",0
6,STATION WAGON,SP,45,M,Casado,31129,"0,72",0
10,SEDAN,SP,50,M,Solteiro,27837,"0,81",0
1,SEDAN,PE,34,F,Casado,19608,"0,47",0
5,HATCH,RJ,56,M,Casado,19491,"0,81",0
10,HATCH,SP,48,F,Casado,17613,"0,77",0
5,HATCH,DF,50,M,Casado,25135,"0,77",0
10,SEDAN,SP,73,M,Casado,53129,"0,14",0
5,HATCH,SP,37,F,Casado,16248,"0,81",0
0,SEDAN,SP,63,F,Viuvo,29794,"0,30",1
10,HATCH,SP,33,M,Casado,24837,"0,76",0
3,HATCH,SP,55,F,Casado,37852,"0,77",0
10,SUV,SP,50,F,Casado,68681,"0,77",0
10,PICAPE LEVE,SP,79,M,Casado,38707,"0,81",0
8,HATCH,SP,61,M,Casado,21262,"0,82",0
3,SEDAN,RS,41,M,Casado,29459,"0,81",0
10,SEDAN,SP,45,M,Casado,21873,"0,83",0
6,SUV,SP,58,M,Casado,32478,"0,80",0
3,HATCH,RJ,64,M,Casado,48912,"0,80",0
10,HATCH,SP,45,F,Casado,17186,"0,79",0
0,SEDAN,MG,49,M,Casado,35237,"0,80",0
6,STATION WAGON,SP,75,M,Casado,11136,"0,81",0
10,HATCH,SP,45,M,Casado,27488,"0,80",1
10,SEDAN,SP,41,M,Casado,53185,"0,02",0
10,MONOVOLUME,SP,36,M,Solteiro,42793,"0,82",0
10,SEDAN,SP,35,F,Casado,24687,"0,16",0
10,SEDAN,PR,41,M,Casado,38064,"0,21",0
10,SUV,MG,50,F,Casado,33020,"0,25",0
10,MONOVOLUME,SP,67,F,Viuvo,48678,"0,77",0
1,HATCH,PR,57,M,Casado,29237,"0,02",0
10,HATCH,SP,39,M,Solteiro,13752,"0,29",0
4,HATCH,MG,30,F,Solteiro,12343,"0,81",0
1,HATCH,BA,70,F,Viuvo,40447,"0,37",0
10,HATCH,SP,46,F,Casado,35895,"0,80",0
10,HATCH,SP,54,F,Casado,12265,"0,82",0
3,HATCH,SP,56,M,Casado,9876,"0,84",0
6,HATCH,GO,53,M,Casado,37922,"0,33",0
10,HATCH,SP,47,F,Solteiro,38049,"0,81",0
10,HATCH,SP,58,M,Casado,42012,"0,67",2
9,SEDAN,PE,61,M,Casado,25176,"0,80",0
10,HATCH,SP,84,F,Viuvo,33791,"0,80",0
3,HATCH,DF,65,M,Casado,45387,"0,80",1
5,SUV,RS,61,M,Casado,69299,"0,77",0
4,MONOVOLUME,SP,53,M,Casado,28196,"0,78",0
10,HATCH,SP,43,F,Casado,21251,"0,77",0
9,HATCH,SP,69,M,Casado,23386,"0,84",0
9,HATCH,SP,39,F,Casado,25920,"0,34",0
1,HATCH,SC,64,M,Casado,34225,"0,79",0
10,MONOVOLUME,SP,44,F,Casado,24774,"0,82",0
7,MONOVOLUME,SP,72,M,Casado,23391,"0,79",0
5,HATCH,SP,54,F,Casado,15284,"0,80",0
6,SEDAN,SP,54,F,Casado,17704,"0,80",0
10,MONOVOLUME,SP,24,F,Solteiro,47235,"0,82",0
3,SUV,RS,60,F,Casado,45408,"0,17",0
1,MONOVOLUME,BA,45,M,Casado,45876,"0,80",0
7,HATCH,PE,75,M,Casado,40110,"0,41",0
10,SEDAN,SP,63,M,Casado,35159,"0,76",0
10,SUV,SP,46,M,Casado,100848,"0,59",0
10,SEDAN,RJ,40,F,Solteiro,23944,"0,76",0
10,SEDAN,SP,46,M,Casado,56078,"0,77",0
8,HATCH,SP,55,M,Casado,8488,"0,67",0
10,SEDAN,SP,49,M,Casado,41428,"0,78",0
6,HATCH,SP,28,M,Solteiro,15952,"0,82",0
8,SEDAN,SC,66,M,Casado,32796,"0,80",0
0,HATCH,SP,49,M,Casado,30020,"0,50",0
10,MONOVOLUME,SP,48,F,Divorciado,32120,"0,74",0
6,SEDAN,SP,44,F,Solteiro,16463,"0,81",0
3,HATCH,SP,30,F,Casado,30873,"0,76",0
0,HATCH,SP,57,M,Solteiro,26930,"0,82",0
10,ESPORTIVO,SP,56,F,Casado,50350,"0,80",0
6,HATCH,MG,61,M,Casado,22401,"0,75",0
10,HATCH,SP,49,M,Casado,22636,"0,82",0
0,SUV,SP,61,M,Casado,54510,"0,78",0
10,SUV,SP,64,M,Casado,57457,"0,76",0
0,SUV,SP,66,F,Viuvo,51210,"0,81",0
10,MONOVOLUME,SP,34,M,Casado,33697,"0,77",0
6,HATCH,SP,42,M,Casado,43050,"0,32",0
7,STATION WAGON,SP,41,M,Casado,19448,"0,82",0
0,HATCH,SP,47,F,Solteiro,16068,"0,81",0
4,SEDAN,SP,58,M,Casado,59696,"0,76",0
8,SUV,SP,63,F,Casado,117873,"0,21",0
0,HATCH,SP,34,M,Casado,50006,"0,81",0
10,MONOVOLUME,PR,42,F,Casado,23889,"0,83",0
3,HATCH,SP,60,M,Casado,13376,"0,20",0
1,HATCH,SP,51,F,Solteiro,36803,"0,31",0
0,HATCH,SP,64,M,Casado,41649,"0,79",0
10,SEDAN,SP,59,M,Casado,31642,"0,81",0
8,SEDAN,AM,27,F,Solteiro,50344,"0,77",0
1,MONOVOLUME,RJ,25,F,Casado,21281,"0,09",0
3,PICAPE LEVE,SP,58,F,Casado,38707,"0,42",0
10,SEDAN,SP,46,M,Casado,16600,"0,79",0
1,SUV,RS,53,M,Casado,39356,"0,01",0
1,HATCH,SP,22,F,Solteiro,33800,"0,36",0
2,SEDAN,SP,29,F,Casado,43962,"0,79",0
4,SEDAN,SP,68,F,Casado,25844,"0,78",0
8,SUV,DF,40,M,Casado,62205,"0,82",0
4,SUV,PR,47,M,Casado,31419,"0,76",0
1,SEDAN,AL,28,M,Solteiro,26950,"0,43",0
