tipo	idade	sexo	civil	valor	expos	nsinist
suv	35	M	Casado	101.226	0.78	1
mono	65	F	Casado	20.865	0.76	0
suv	47	F	Casado	51.332	0.83	1
suv	63	F	Casado	87.782	0.79	0
sedan	61	F	Casado	62.97	0.77	0
picape	67	M	Casado	19.89	0.82	0
sedan	51	M	Casado	64.467	0.79	0
mono	68	F	Casado	20.319	0.83	0
sedan	55	F	Casado	22.876	0.8	0
suv	49	M	Casado	34.816	0.79	0
sedan	40	M	Casado	15.326	0.59	0
wagon	59	F	Casado	15.638	0.82	0
hatch	57	M	Casado	30.391	0.05	0
hatch	65	M	Casado	10.648	0.02	0
hatch	38	M	Casado	25.045	0.77	0
wagon	45	M	Casado	31.129	0.72	0
sedan	50	M	Solteiro	27.837	0.81	0
sedan	34	F	Casado	19.608	0.47	0
hatch	56	M	Casado	19.491	0.81	0
hatch	48	F	Casado	17.613	0.77	0
hatch	50	M	Casado	25.135	0.77	0
sedan	73	M	Casado	53.129	0.14	0
hatch	37	F	Casado	16.248	0.81	0
sedan	63	F	Viuvo	29.794	0.3	1
hatch	33	M	Casado	24.837	0.76	0
hatch	55	F	Casado	37.852	0.77	0
suv	50	F	Casado	68.681	0.77	0
picape	79	M	Casado	38.707	0.81	0
hatch	61	M	Casado	21.262	0.82	0
sedan	41	M	Casado	29.459	0.81	0
sedan	45	M	Casado	21.873	0.83	0
suv	58	M	Casado	32.478	0.8	0
hatch	64	M	Casado	48.912	0.8	0
hatch	45	F	Casado	17.186	0.79	0
sedan	49	M	Casado	35.237	0.8	0
wagon	75	M	Casado	11.136	0.81	0
hatch	45	M	Casado	27.488	0.8	1
sedan	41	M	Casado	53.185	0.02	0
mono	36	M	Solteiro	42.793	0.82	0
sedan	35	F	Casado	24.687	0.16	0
sedan	41	M	Casado	38.064	0.21	0
suv	50	F	Casado	33.02	0.25	0
mono	67	F	Viuvo	48.678	0.77	0
hatch	57	M	Casado	29.237	0.02	0
hatch	39	M	Solteiro	13.752	0.29	0
hatch	30	F	Solteiro	12.343	0.81	0
hatch	70	F	Viuvo	40.447	0.37	0
hatch	46	F	Casado	35.895	0.8	0
hatch	54	F	Casado	12.265	0.82	0
hatch	56	M	Casado	9.876	0.84	0
hatch	53	M	Casado	37.922	0.33	0
