period	repart	corled	gaiola	dia	ovos
2	2	brn	1	10	7
2	2	brn	2	10	7
2	2	brn	3	10	9
2	2	brn	4	10	7
2	2	brn	5	10	8
2	2	brn	6	10	6
2	3	vrm	1	10	9
2	3	vrm	2	10	7
2	3	vrm	3	10	7
2	3	vrm	4	10	8
2	3	vrm	5	10	8
2	3	vrm	6	10	6
2	4	azl	1	10	8
2	4	azl	2	10	8
2	4	azl	3	10	9
2	4	azl	4	10	8
2	4	azl	5	10	8
2	4	azl	6	10	8
2	5	vrd	1	10	9
2	5	vrd	2	10	5
2	5	vrd	3	10	8
2	5	vrd	4	10	9
2	5	vrd	5	10	7
2	5	vrd	6	10	9
2	1	amr	1	11	8
2	1	amr	2	11	10
2	1	amr	3	11	8
2	1	amr	4	11	9
2	1	amr	5	11	7
2	1	amr	6	11	4
2	2	brn	1	11	10
2	2	brn	2	11	8
2	2	brn	3	11	8
2	2	brn	4	11	10
2	2	brn	5	11	6
2	2	brn	6	11	6
2	3	vrm	1	11	10
2	3	vrm	2	11	6
2	3	vrm	3	11	8
2	3	vrm	4	11	9
2	3	vrm	5	11	6
2	3	vrm	6	11	6
2	4	azl	1	11	8
2	4	azl	2	11	8
2	4	azl	3	11	7
2	4	azl	4	11	8
2	4	azl	5	11	8
2	4	azl	6	11	7
2	5	vrd	1	11	8
2	5	vrd	2	11	6
2	5	vrd	3	11	8
2	5	vrd	4	11	10
2	5	vrd	5	11	7
2	5	vrd	6	11	8
2	1	amr	1	12	9
2	1	amr	2	12	8
2	1	amr	3	12	7
2	1	amr	4	12	8
2	1	amr	5	12	7
2	1	amr	6	12	5
2	2	brn	1	12	9
2	2	brn	2	12	9
2	2	brn	3	12	7
2	2	brn	4	12	9
2	2	brn	5	12	7
2	2	brn	6	12	6
2	3	vrm	1	12	7
2	3	vrm	2	12	7
2	3	vrm	3	12	5
2	3	vrm	4	12	6
2	3	vrm	5	12	8
2	3	vrm	6	12	6
2	4	azl	1	12	8
2	4	azl	2	12	8
2	4	azl	3	12	8
2	4	azl	4	12	8
2	4	azl	5	12	8
2	4	azl	6	12	8
2	5	vrd	1	12	8
2	5	vrd	2	12	6
2	5	vrd	3	12	8
2	5	vrd	4	12	9
2	5	vrd	5	12	7
2	5	vrd	6	12	8
2	1	amr	1	13	8
2	1	amr	2	13	7
2	1	amr	3	13	8
2	1	amr	4	13	7
2	1	amr	5	13	8
2	1	amr	6	13	4
2	2	brn	1	13	9
2	2	brn	2	13	9
2	2	brn	3	13	6
2	2	brn	4	13	9
2	2	brn	5	13	6
2	2	brn	6	13	4
2	3	vrm	1	13	6
2	3	vrm	2	13	7
2	3	vrm	3	13	10
2	3	vrm	4	13	6
2	3	vrm	5	13	5
2	3	vrm	6	13	6
2	4	azl	1	13	10
2	4	azl	2	13	7
2	4	azl	3	13	7
2	4	azl	4	13	8
2	4	azl	5	13	9
2	4	azl	6	13	5
2	5	vrd	1	13	8
2	5	vrd	2	13	5
2	5	vrd	3	13	7
2	5	vrd	4	13	7
2	5	vrd	5	13	7
2	5	vrd	6	13	7
2	1	amr	1	14	9
2	1	amr	2	14	6
2	1	amr	3	14	7
2	1	amr	4	14	5
2	1	amr	5	14	6
2	1	amr	6	14	6
2	2	brn	1	14	10
2	2	brn	2	14	7
2	2	brn	3	14	9
2	2	brn	4	14	9
2	2	brn	5	14	7
2	2	brn	6	14	6
2	3	vrm	1	14	7
2	3	vrm	2	14	7
2	3	vrm	3	14	8
2	3	vrm	4	14	6
2	3	vrm	5	14	6
2	3	vrm	6	14	6
2	4	azl	1	14	8
2	4	azl	2	14	8
2	4	azl	3	14	7
2	4	azl	4	14	9
2	4	azl	5	14	9
2	4	azl	6	14	9
2	5	vrd	1	14	10
